id,business_name,phone_number,email,zip,category,page_created
32982382,YY Jewelry Design,+18185350780,yyjewelrydesign@gmail.com,89128,Accessories store,11/17/2020
32982383,"Seana Dean, MD","","",73115,Pediatrician,11/17/2020
32982393,The Calligraphy Girl,"","",95816,Artist,11/17/2020
32982397,African Print Takeover llc,+12062282845,africanprinttakeover@gmail.com,98144,Accessories store,11/17/2020
32982398,Rock Cliff Creations of Indy Pool and Water Features LLC,"","",46069,Pool builder,11/17/2020
32982406,Doggie Styles,+15392085458,philip@doggiestyles.dog,74055,Dog groomer,11/17/2020
32982408,"The Lewis Firm, LLC",+12066047269,duncanives@comcast.net,98198,Lawyer,11/17/2020
32982413,Charmy’s,+16144001782,rezi.bayegan@gmail.com,43201,Food/grocery delivery,11/17/2020
32982418,Spell It Out New Jersey,+19088037921,spellitoutnewjersey@gmail.com,07945,Party entertainment,11/17/2020
32982427,Highline Detail,"",highlinedetailaz@gmail.com,85286,Auto detailer,11/17/2020
32982428,Richmond Heating and Air Services,+18044052055,jasonu@richmondheatingandac.com,23114,Air conditioning service,11/17/2020
32982430,beelove,"","",60624,Specialty food store,11/17/2020
32982434,"Russell Bikoff, Attorney And Counselor At Law",+17038633134,rab@bikofflaw.com,20036,Counselor,11/17/2020
32982435,"Tamila Selitsky, OB-GYN P.C.","","",11228,Ob/Gyn,11/17/2020
32982440,Christina Pilates & Movement,+19175318772,christina@pilatesmovement.net,94102,Pilates,11/17/2020
32982448,Dance Time Studio And Wellness Center,+16024862082,brigette2@cox.net,85254,Dance club,11/17/2020
32982453,Art By Hilda,+19193277760,hildaeakins@gmail.com,27615,Artist,11/17/2020
32982457,Codeworks Plumbing(C.M.Wall),+12067558387,codeworksplumbing@gmail.com,98036,Water softeners,11/17/2020
32982458,Designing Chi,+15209094784,msv@designingchi.com,85340,Alternative wellness,11/17/2020
32982463,"Alex Grener, St. Augustine REALTOR",+17573351906,agrener@watsonrealtycorp.com,32086,Real estate agent,11/17/2020
